_id,OBJECTID,YOL_ID,SHAPE_Length,YOL_ISMI,YOL_TURU,YOL_TIPI,SERIT_SAYISI,KULLANILAN_SERIT,KAPLAMA_CINSI,YOLKN,IBB_KIMLIKNO,ACIKLAMA,UKOME_OZET,UKOME_GIRIS,UKOME_CIKIS,ANAARTER_TIP,SHAPE_Length_1
926,926,1023547,35.59117411,Vezir Sk.,3,1,2t,1,Parke,1023547,384173,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),35.59117411
927,927,1023550,1697.50672,Sakıp Sabancı Cad.,2,1,2ç,2,Asfalt,1023550,376292,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),8.776338148
928,928,1023562,3142.970168,Haydar Aliyev Cad.,2,1,2t,2,Asfalt,1023562,300756,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),163.7483263
929,929,1024325,874.2072032,Kandilli Göksu Cad.,2,1,2ç,2,Asfalt,1024325,200988,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),697.9887985
930,930,1024339,667.7287351,Hekimbaşı Çiftlik Cad.,2,1,2ç,2,Asfalt,1024339,390086,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),34.27113031
931,931,1024406,17548.4288,Küçüksu Cad.,2,1,2t,2,Asfalt,1024406,275218,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),46.7602128
932,932,1024454,1988.572868,Dereboyu Cad.,2,1,2ç,2,Asfalt,1024454,320646,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),9.610464216
933,933,1024512,2111.4986,Adem Yavuz Cad.,2,1,2t,2,Asfalt,1024512,274611,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),50.84071164
934,934,1024530,1464.495191,Dumlupınar Cad.,2,1,3ç,3,Asfalt,1024530,300176,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),47.30052364
935,935,1024667,701.0728787,İnönü Cad.,2,1,2ç,2,Asfalt,1024667,261635,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),286.4645421
936,936,1024917,1197.046544,Atatürk Cad.,2,1,2ç,1,Asfalt,1024917,299635,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),44.89184989
937,937,1024940,4892.092035,Şile Cad.,2,3,2t,2,Asfalt,1024940,409177,,,,,KARAYOLLARI(Mevcut)(66),262.4332002
938,938,1024950,507.1014944,TRT Cad.,2,1,1t,1,Asfalt,1024950,353225,UKOME2004/1-12 (14.01.2004) Kararıyla ANAARTER oldu.,Anaarter (Mevcut) (1),UKOME2004/1-12 (14.01.2004),Hala Anaarter,Anaarter (Mevcut)(11),52.59009658
939,939,1025075,2633.933059,Hamza Yerlikaya Bulvarı,1,1,2ç,,Asfalt,1025075,279333,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),7.382116134
940,940,1025077,4802.103645,Mehmet Akif Ersoy Cad.,2,1,4ç,2,Asfalt,1025077,187835,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),11.33207012
941,941,1025163,128.2020505,Nevzat Demir Cad.,2,3,1t,1,Asfalt,1025163,239778,Bu YOLLAR  (21.02.2005) Tarihli Protokol ile Karayollarından  İBB?nin sorumluluğuna girmiş olup (11.07.2010) Tarihli Protokol ve FEN KURULU kararıyla İBB?nin sorumluluğundan çıkıp tekrar KARAYOLLARI?nın sorumluluğuna girmiştir.,Karayollari (2010 DEVİR PROTOKOLÜ) (99),(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihiyle yürürlüğe girmiştir,(01.06.2010) Tarihli Karayolları 2010 Protokolü ve (11.07.2010) Tarihiyle  yürürlüğe girmiştir,KARAYOLLARI(2010 Protokolu)(99),128.2020505
