_id,OBJECTID,YOL_ID,SHAPE_Length,YOL_ISMI,YOL_TURU,YOL_TIPI,SERIT_SAYISI,KULLANILAN_SERIT,KAPLAMA_CINSI,YOLKN,IBB_KIMLIKNO,ACIKLAMA,UKOME_OZET,UKOME_GIRIS,UKOME_CIKIS,ANAARTER_TIP,SHAPE_Length_1
1,1,101,2526.753337,O-6 Bağlantı Yolu,17,3,3t,,,101,12001883,,,,,KARAYOLLARI(Mevcut)(66),107.5233508
2,2,251,1046.726879,100. Yıl Cad.,2,1,2t,1,Asfalt,251,229781,(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihli Meclis Kararı ile Karayollarından İBB?ye DEVİR  yürürlüğe girmiştir,Anaarter (2004 DEVİR inden Kalan Yollar) (911),(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihiyle yürürlüğe girmiştir,Hala Anaarter,Anaarter (2004 Karayolları Protokolünden KALANLAR)(911),197.6028909
3,3,1140,2930.679018,Seyfettin Sk.,3,1,2ç,2,Asfalt,1140,255611,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),317.0866133
4,4,1294,3873.864838,Hacıoğlu Sk.,3,1,1ç,1,Beton,1294,300375,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),963.9073046
5,5,1994,3931.669288,Gökyüzü Cad.,2,1,2ç,2,Asfalt,1994,441236,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),128.7244636
6,6,2170,3994.278335,Çayırdere Sayalar Yolu Sk.,3,1,2ç,2,Asfalt,2170,318209,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),33.62965536
7,7,2174,3195.387735,Milli Şair Cad.,2,1,2ç,2,Asfalt,2174,352130,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),890.6417928
8,8,2259,5536.920665,Danamandıra Cad.,2,1,2ç,2,Asfalt,2259,319773,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),5.868176292
9,9,2262,425.2336969,Hacı Ömer Cad.,2,1,2ç,2,Asfalt,2262,351864,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),115.3162431
10,10,2358,4035.260176,Meydan Cad.,2,1,2ç,2,Asfalt,2358,190974,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),951.6803045
11,11,2385,2890.577812,Cennet Cad.,2,1,2ç,2,Asfalt,2385,350440,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),562.6494221
12,12,2868,1334.003016,Sağlık Cad.,2,1,2ç,2,Parke,2868,317565,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),45.65698155
13,13,3080,8796.608402,Sancaktar Cad.,2,1,2ç,2,Asfalt,3080,349507,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),279.0352001
14,14,3238,2765.497738,50. Yıl Cad.,2,1,2t,2,Asfalt,3238,209405,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),62.91083862
15,15,3362,78.56461929,Tepki Sk.,3,1,1ç,1,Asfalt,3362,312695,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR.,Anaarter (Köyhizmetleri Devir UKOME KARASIZ) (5),28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR,Hala Anaarter(UKOME KARARSIZ),Anaarter (UKOME siz Köy Hizm. Devir)(55),78.56461929
16,16,3669,525.0540027,60. Yıl Cad.,2,1,1t,1,Asfalt,3669,196958,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),25.62496958
17,17,3821,2568.157192,İncirli Cad.,2,1,2ç,2,Asfalt,3821,173028,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),11.79784267
18,18,3955,749.2215744,Safranbolu Cad.,2,1,2ç,2,Asfalt,3955,349733,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR.,Anaarter (Köyhizmetleri Devir UKOME KARASIZ) (5),28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR,Hala Anaarter(UKOME KARARSIZ),Anaarter (UKOME siz Köy Hizm. Devir)(55),81.97480511
19,19,4155,2477.845328,Gazi Yiğit Cad.,2,1,1ç,1,Asfalt,4155,364907,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),65.16563704
20,20,4199,2931.669837,Çatalca Cad.,2,1,2ç,2,Asfalt,4199,12009767,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR.,Anaarter (Köyhizmetleri Devir UKOME KARASIZ) (5),28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR,Hala Anaarter(UKOME KARARSIZ),Anaarter (UKOME siz Köy Hizm. Devir)(55),423.8277987
21,21,4505,3027.304968,Şükrü Sk.,3,1,2ç,2,Asfalt,4505,304050,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),1108.456932
22,22,4681,2871.063592,Abdi İpekçi Cad.,2,1,3t,3,Asfalt,4681,244493,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),143.0168701
23,23,4697,1522.49143,Abdülezelpaşa Cad.,2,1,2t,2,Asfalt,4697,229192,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),371.5287388
24,24,4707,1374.712352,Merkez Cad.,2,1,2t,2,Asfalt,4707,464928,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),7.509177848
25,25,4886,5018.772471,Danamandıra Sinekli Yolu Sk.,3,1,2ç,2,Asfalt,4886,305600,Anaarter,Anaarter (15.07.2011 Protokolü),İBB Sorumluluğunda,İBB Sorumluluğunda,KGM' DEN İBB' YE DEVİR,2933.856584
26,26,4975,11951.11711,Laiklik Cad.,2,1,2ç,2,Asfalt,4975,296702,Anaarter,Anaarter (15.07.2011 Protokolü),İBB Sorumluluğunda,İBB Sorumluluğunda,KGM' DEN İBB' YE DEVİR,661.8104146
27,27,4982,1436.585924,Akdeniz Cad.,2,1,2t,1,Asfalt,4982,252890,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),59.73977448
28,28,4989,3210.008867,Taşova Sk.,3,1,2ç,2,Asfalt,4989,351952,Anaarter,Anaarter (15.07.2011 Protokolü),İBB Sorumluluğunda,İBB Sorumluluğunda,KGM' DEN İBB' YE DEVİR,536.1903483
29,29,5074,3619.748997,Akpınar Cad.,2,1,2t,2,Asfalt,5074,219880,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),186.5436573
30,30,5108,91.22755352,Akşemsettin Cad.,2,1,2t,2,Asfalt,5108,259764,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),50.50205906
31,31,5123,9928.513741,İstasyon Cad.,2,1,2ç,2,Asfalt,5123,302212,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),688.3504034
32,32,5219,780.6291866,Ali Fuat Başgil Cad.,2,1,2t,1,Asfalt,5219,223141,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),169.4290816
33,33,5296,7264.751623,Mandıra Cad.,2,1,2ç,2,Asfalt,5296,455442,Anaarter,Anaarter (15.07.2011 Protokolü),İBB Sorumluluğunda,İBB Sorumluluğunda,KGM' DEN İBB' YE DEVİR,21.46143511
34,34,5309,295.9955223,Altımermer Cad.,2,1,4ç,2,Asfalt,5309,236601,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),14.00764027
35,35,5331,4179.087759,Baba Küstü Cad.,2,1,2ç,2,Asfalt,5331,289166,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR.,Anaarter (Köyhizmetleri Devir UKOME KARASIZ) (5),28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR,Hala Anaarter(UKOME KARARSIZ),Anaarter (UKOME siz Köy Hizm. Devir)(55),328.0392226
36,36,5702,5074.525658,Atatürk Bulvarı,1,1,2t,2,Asfalt,5702,241548,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),26.87725218
37,37,5703,2859.786839,Mustafa Kemal Bulvarı,1,1,2t,2,Asfalt,5703,128893,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),45.44848594
38,38,5705,5478.796763,Atatürk Cad.,2,1,1ç,1,Asfalt,5705,458715,UKOME2000/6-7 (30.06.2000) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2000/6-7 (30.06.2000),Hala Anaarter,Anaarter (Mevcut)(11),7.580434417
39,39,5721,675.0337553,Atatürk Cad.,2,1,2ç,2,Asfalt,5721,342686,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),21.71036711
40,40,5791,3139.982157,Gökun Cad.,2,1,2ç,2,Asfalt,5791,293306,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),993.7282982
41,41,5837,170.0909205,Ayancık Sk.,3,1,2t,2,Asfalt,5837,265028,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),123.2684021
42,42,5850,850.1064922,Ayazma Cad.,2,1,1t,1,Asfalt,5850,385934,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),4.552875913
43,43,5891,3743.752586,Harman Pınar Cad.,2,1,2ç,2,Asfalt,5891,293424,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),148.1722372
44,44,5972,992.3966047,Saydam Sk.,3,1,1ç,1,Stabilize,5972,312093,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR.,Anaarter (Köyhizmetleri Devir UKOME KARASIZ) (5),28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR,Hala Anaarter(UKOME KARARSIZ),Anaarter (UKOME siz Köy Hizm. Devir)(55),910.0289838
45,45,6002,1752.069157,Ayvansaray Cad.,2,1,2t,2,Asfalt,6002,137126,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),110.7855062
46,46,6003,2560.688501,Savaklar Cad.,2,1,2t,2,Asfalt,6003,357893,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),14.61209248
47,47,6016,262.3891996,Bilir Cad.,2,1,1ç,1,Parke,6016,431055,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR.,Anaarter (Köyhizmetleri Devir UKOME KARASIZ) (5),28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR,Hala Anaarter(UKOME KARARSIZ),Anaarter (UKOME siz Köy Hizm. Devir)(55),31.17684295
48,48,6337,2719.197433,Fatih Sultan Mehmet Bulvarı,1,1,4ç,4,Asfalt,6337,129999,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),144.1305735
49,49,6354,443.9632008,Barbaros Cad.,2,1,3ç,2,Asfalt,6354,343712,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),9.40731956
50,50,6474,338.572549,Başvekil Cad.,2,1,4t,2,Asfalt,6474,230162,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),111.6441266
51,51,6738,3522.941602,Beylerbeyi Cad.,2,1,2t,2,Asfalt,6738,142402,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),229.1736223
52,52,6975,75.55643984,1. Bozkurt Sk.,3,1,2t,2,Asfalt,6975,403581,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),75.55643984
53,53,7086,1046.286025,Bülbüldere Cad.,2,1,2ç,2,Asfalt,7086,183338,UKOME2004/1-12 (14.01.2004) Kararıyla ANAARTER oldu.,Anaarter (Mevcut) (1),UKOME2004/1-12 (14.01.2004),Hala Anaarter,Anaarter (Mevcut)(11),8.155014905
54,54,7248,505.5794136,Bahçedere Sk.,3,1,1ç,1,Stabilize,7248,456038,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR.,Anaarter (Köyhizmetleri Devir UKOME KARASIZ) (5),28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR,Hala Anaarter(UKOME KARARSIZ),Anaarter (UKOME siz Köy Hizm. Devir)(55),505.5794136
55,55,7351,94.37075313,Cemalettin Efendi Sk.,3,1,2t,1,Asfalt,7351,285498,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),57.43883352
56,56,7403,493.8721369,Cerrahpaşa Cad.,2,1,2t,1,Asfalt,7403,232360,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),27.97301914
57,57,7416,8.312799999,Cevdetpaşa Cad.,2,1,2ç,2,Asfalt,7416,225874,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),5.6952
58,58,7551,111.099846,Çuhadar Sk.,3,1,2ç,2,Asfalt,7551,350901,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),111.099846
59,59,8268,4728.227021,Çinçin Dere Cad.,2,1,2t,2,Asfalt,8268,342404,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),12.0691841
60,60,8348,5610.186757,O - 1 Otoyolu,17,3,3t,3,Asfalt,8348,157906,Bu YOLLAR  (21.02.2005) Tarihli Protokol ile Karayollarından  İBB?nin sorumluluğuna girmiş olup (11.07.2010) Tarihli Protokol ve FEN KURULU kararıyla İBB?nin sorumluluğundan çıkıp tekrar KARAYOLLARI?nın sorumluluğuna girmiştir.,Karayollari (2010 DEVİR PROTOKOLÜ) (99),(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihiyle yürürlüğe girmiştir,(01.06.2010) Tarihli Karayolları 2010 Protokolü ve (11.07.2010) Tarihiyle  yürürlüğe girmiştir,KARAYOLLARI(2010 Protokolu)(99),317.7451397
61,61,8373,2504.704082,Osman Gazi Cad.,2,1,4ç,2,1,8373,342725,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),42.65149336
62,62,8446,6228.796901,Darülaceze Cad.,2,1,2t,1,Asfalt,8446,488292,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),2.733024151
63,63,8450,580.5418958,Darüşşafaka Cad.,2,1,4ç,2,Asfalt,8450,259270,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),76.26161888
64,64,8466,3338.660881,Yıldız Cad.,2,1,2t,2,Asfalt,8466,342744,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),33.11906407
65,65,8710,107.7123777,Dernek Sk.,3,1,2t,2,Asfalt,8710,464733,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),45.97576069
66,66,9003,3812.316456,Emir Külal Cad.,2,1,2ç,2,Asfalt,9003,320002,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),44.38733338
